CustomerID,Gender,Age,City,MembershipType,TotalSpend,ItemsPurchased,AverageRating,DiscountApplied,DaysSinceLastPurchase,SatisfactionLevel
1,Female,39,Brewerfurt,Gold,699.915464,18,3.955038963,FALSE,235,Neutral
2,Female,71,Roweport,Gold,2468.772829,14,3.230167442,FALSE,179,Unsatisfied
3,Male,25,Osborneland,Gold,4930.286054,15,3.031952799,TRUE,92,Neutral
4,Male,60,Kathrynport,Silver,2699.439442,10,4.692112891,TRUE,162,Satisfied
5,Female,37,Jessicaborough,Gold,1473.339497,15,2.509883062,FALSE,263,Unsatisfied
6,Male,21,Port Kellystad,Silver,4964.881312,1,2.851468938,TRUE,14,Neutral
7,Male,46,East Tamarafurt,Bronze,2464.505634,10,4.090313014,TRUE,325,Satisfied
8,Female,49,West Jessica,Silver,2393.398949,9,2.375124409,TRUE,56,Satisfied
9,Female,47,Carolstad,Gold,1579.975546,9,4.044485519,TRUE,355,Satisfied
10,Female,43,Mooreton,Gold,2080.10169,16,2.887001544,TRUE,331,Neutral
11,Male,27,New Michelle,Bronze,2555.376549,11,4.146913612,TRUE,56,Satisfied
12,Male,56,Powerschester,Silver,56.30917761,9,3.768098905,TRUE,278,Satisfied
13,Female,33,Howellton,Bronze,3743.804957,18,2.793262142,FALSE,284,Satisfied
14,Female,26,Traciton,Bronze,1716.198211,17,3.016988824,TRUE,73,Satisfied
15,Female,56,Michaelport,Silver,,10,1.909006931,TRUE,63,Satisfied
16,Female,76,Port Sarahview,Silver,,10,4.3694866,TRUE,157,Satisfied
17,Female,21,East Joseshire,Silver,,9,3.545898047,FALSE,356,Satisfied
18,Male,73,East Heather,Silver,,3,1.162095283,TRUE,266,Unsatisfied
19,Male,40,Port April,Bronze,,7,2.64365116,FALSE,140,Neutral
20,Female,21,South Morganton,Bronze,,18,4.801997332,TRUE,287,Unsatisfied
21,Male,66,Thomastown,Bronze,,1,1.797254349,TRUE,139,Satisfied
22,Female,70,Jamesborough,Silver,,11,4.126217085,FALSE,94,Neutral
23,Male,78,Lake Denise,Bronze,,3,1.090854631,FALSE,149,Neutral
24,Female,50,Davidside,Silver,,8,2.003580047,FALSE,239,Neutral
25,Female,18,Brooksland,Bronze,,19,2.552488612,FALSE,252,Unsatisfied
26,Male,79,East Hollychester,Bronze,,12,4.409089798,TRUE,98,Unsatisfied
27,Female,73,West Stephanieview,Bronze,,17,,FALSE,202,Unsatisfied
28,Female,19,North Alejandrotown,Bronze,,9,,TRUE,149,Unsatisfied
29,Male,65,Adamberg,Gold,,18,,TRUE,134,Satisfied
30,Female,29,Travismouth,Silver,,6,,FALSE,129,Unsatisfied
31,Male,68,New Emilychester,Bronze,,2,,TRUE,252,Neutral
32,Male,72,Lake Stephanieton,Bronze,,14,,TRUE,86,Neutral
33,Male,78,Port Darren,Silver,,13,,FALSE,333,Neutral
34,Male,61,Lake Coryhaven,Silver,,1,,FALSE,120,Satisfied
35,Male,41,Port Brendatown,Gold,,19,,TRUE,229,Unsatisfied
36,Female,48,East Thomas,Gold,,2,,TRUE,321,Neutral
37,Female,21,West David,Silver,,17,,FALSE,187,Unsatisfied
38,Female,25,North Michelle,Silver,,1,,TRUE,67,Satisfied
39,Female,31,Briantown,Gold,,5,,TRUE,354,Neutral
40,Female,41,Matthewbury,Gold,,12,,TRUE,109,Neutral
41,Male,49,Jenniferhaven,Bronze,,11,,FALSE,47,Satisfied
42,Female,27,Courtneyfort,Gold,,13,,FALSE,298,Satisfied
43,Male,62,North Travis,Silver,,6,,TRUE,338,Neutral
44,Female,44,Jamesmouth,Silver,,4,,TRUE,64,Unsatisfied
45,Female,66,Paulland,Gold,,4,,TRUE,225,Neutral
46,Female,32,Matthewmouth,Silver,,9,,TRUE,184,Satisfied
47,Male,51,New Jamesstad,Silver,,10,3.898113954,TRUE,76,Satisfied
48,Male,49,Woodwardton,Silver,,15,1.850583961,FALSE,329,Neutral
49,Female,28,South Stephanie,Bronze,,18,4.725743383,TRUE,11,Unsatisfied
50,Female,25,Heatherfort,Bronze,3161.905562,8,4.008969272,FALSE,103,Satisfied
51,Male,73,Amandafurt,Bronze,1334.780318,15,1.835815137,FALSE,84,Unsatisfied
52,Male,42,Gillfurt,Bronze,1893.77117,13,3.899089311,FALSE,357,Unsatisfied
53,Female,72,West Jacobport,Bronze,3988.706705,2,1.280133196,FALSE,246,Satisfied
54,Male,71,Mendozashire,Gold,3163.455128,2,2.837745456,TRUE,203,Neutral
55,Female,70,West Brittany,Gold,131.6319753,5,4.530040867,TRUE,249,Neutral
56,Female,20,Gonzalezburgh,Gold,654.6112201,4,4.322660109,TRUE,112,Satisfied
57,Female,79,New Jonathan,Gold,3013.147314,11,3.882022998,TRUE,120,Unsatisfied
58,Male,23,Johnburgh,Bronze,1762.736264,19,3.572712879,FALSE,224,Unsatisfied
59,Female,35,Port Andrea,,2268.273895,14,4.085839122,FALSE,347,Satisfied
60,Female,77,Lake Joannahaven,,1860.18475,5,4.091621866,TRUE,13,Neutral
61,Female,46,South Amanda,,3227.282049,19,1.731888827,FALSE,69,Neutral
62,Female,39,North Tammybury,,4220.813968,18,1.211736755,TRUE,213,Neutral
63,Male,36,East Francisco,,464.6448384,16,4.130461873,TRUE,85,Satisfied
64,Female,25,Chavezfort,,3149.698565,12,4.67337955,TRUE,149,Satisfied
65,Male,45,Margaretville,,2653.226951,10,1.922294013,FALSE,318,Satisfied
66,Male,25,New Nicolehaven,,4422.251952,1,1.962901891,FALSE,288,Neutral
67,Female,57,East Amber,,2216.582826,16,2.538377824,FALSE,17,Satisfied
68,Male,37,Debrahaven,,783.9656311,16,3.679392333,FALSE,136,Satisfied
69,Male,20,Murilloview,,4864.460542,1,3.363171409,TRUE,59,Satisfied
70,Male,45,Powellburgh,,3575.486327,16,1.334081076,TRUE,217,Satisfied
71,Female,34,Lake Darlene,,2826.948081,9,2.52328848,TRUE,161,Satisfied
72,Female,73,Port Jennafurt,,4964.64102,1,4.164673721,FALSE,246,Unsatisfied
73,Male,64,Port Michael,,110.9710969,1,4.308191247,TRUE,10,Neutral
74,Female,31,Brandonhaven,,899.0205854,11,4.341062148,TRUE,173,Neutral
75,Male,28,Hensonborough,,2159.551145,8,2.837421411,TRUE,260,Neutral
76,Female,36,New Stephenchester,,4432.28264,16,4.364979685,TRUE,239,Satisfied
77,Male,76,Port Matthewside,,1367.118691,12,2.705987469,FALSE,40,Unsatisfied
78,Male,38,Kimberlymouth,,1866.154602,16,3.518155552,TRUE,276,Neutral
79,Male,30,New Carolynstad,,3386.866131,17,4.311158344,FALSE,128,Neutral
80,Male,27,Danton,,2258.079791,16,4.19807142,TRUE,206,Satisfied
81,Female,35,West Dannystad,,4227.468156,8,3.391606111,FALSE,38,Neutral
82,Female,53,Maryland,,1345.77977,2,1.834531918,FALSE,10,Neutral
83,Female,31,Lake Mariashire,,2900.516962,3,4.108859232,TRUE,194,Satisfied
84,Female,57,Williefort,,4002.1048,17,2.102930455,TRUE,240,Unsatisfied
85,Female,19,South Thomas,,2606.392329,16,2.617324926,FALSE,140,Unsatisfied
86,Male,37,Lake Kurt,,4888.078646,15,1.165130061,FALSE,266,Neutral
87,Male,30,Victoriaton,,996.7209714,6,1.608201497,FALSE,296,Satisfied
88,Female,48,South Daniel,,4000.073862,6,2.174834269,TRUE,49,Satisfied
89,Male,41,Salazarmouth,,4431.474384,5,1.499413459,TRUE,145,Satisfied
90,Female,19,Crawfordton,,1384.854136,15,4.997825012,FALSE,298,Satisfied
91,Female,63,Russellville,,4471.838648,1,2.689484928,FALSE,279,Satisfied
92,Female,69,Petermouth,,1715.192062,6,2.862837557,TRUE,83,Satisfied
93,Female,58,Meganfort,,3951.260067,4,4.663035137,FALSE,120,Neutral
94,Female,64,Melissaborough,,4352.868741,5,3.639660575,TRUE,25,Neutral
95,Male,69,Candacefurt,,549.9528679,11,2.647474883,TRUE,117,Unsatisfied
96,Male,77,West Brandon,,2182.587847,16,3.143791481,FALSE,199,Unsatisfied
97,Male,29,Cooperberg,,4630.579911,19,3.271470829,FALSE,16,Satisfied
98,Male,65,Smithfort,,3249.351116,7,4.322631719,FALSE,303,Satisfied
99,Female,56,Aimeefort,,2065.544367,18,4.04649681,FALSE,186,Unsatisfied
100,Female,77,West Austin,,4446.322272,16,4.903149179,FALSE,237,Unsatisfied
101,Male,70,Williamsview,,258.369494,11,3.701869136,FALSE,179,Neutral
102,Male,35,Gwendolynville,,1530.062625,13,4.205567845,FALSE,194,Unsatisfied
103,Female,24,South Guystad,,4885.714199,19,1.969491977,TRUE,94,Unsatisfied
104,Male,74,Mckinneyshire,,4603.123236,9,1.349668813,FALSE,244,Satisfied
105,Male,26,East Marie,,472.1603559,16,3.089234443,FALSE,209,Neutral
106,Male,36,North Danieltown,,3910.479151,8,3.084242153,TRUE,290,Neutral
107,Male,47,Charlesborough,,2879.746655,12,2.403127575,TRUE,267,Unsatisfied
